ID,Year,PP (Y), TC (X1) ,II (X2),ATB (X3),ML (Z)
51,2017,0.009132,0.033893,0.245172,0.027009,0.039775
51,2018,-0.003744,0.022684,0.267534,0.023995,0.007475
51,2019,0.036305,0.030536,0.226859,0.023485,0.050363
51,2020,-0.011489,0.019824,0.213474,0.022642,0.001847
51,2021,-0.031817,0.008681,0.292279,0.020041,0.144069
52,2017,0.027531,0.000933,0.306900,0.029565,-0.395525
52,2018,0.007995,0.000918,0.201077,0.129861,-0.002963
52,2019,-0.002150,0.002318,0.252144,0.074157,-0.099547
52,2020,0.027493,0.001830,0.237471,0.139026,0.044607
52,2021,-0.001411,0.013837,0.288426,0.136358,0.128851
53,2017,0.028694,0.008175,0.115648,0.000749,0.002964
53,2018,0.018846,0.000765,0.189439,0.000220,0.092896
53,2019,0.029452,0.001165,0.096648,0.000065,-0.065848
53,2020,0.179632,0.001637,0.192168,0.001391,0.143944
53,2021,0.051513,0.008051,0.105761,0.000736,0.192019
54,2017,0.150543,0.028533,0.081322,0.000121,0.179171
54,2018,0.198069,0.024464,0.173265,0.017089,-0.026427
54,2019,0.068577,0.047216,0.069417,0.010827,0.299102
54,2020,0.072114,0.007311,0.072048,0.010207,0.018194
54,2021,0.216058,0.000166,0.129637,0.008587,0.118825
55,2017,0.072329,0.141939,0.062922,0.077738,0.029898
55,2018,0.044827,0.095646,0.072622,0.071490,0.014304
55,2019,0.055510,0.127996,0.070305,0.061978,-0.002075
55,2020,-0.011681,0.219257,0.068857,0.058938,-0.025470
55,2021,0.147309,0.149594,0.070649,0.057508,0.010378
56,2017,-0.011288,0.249793,0.184213,0.000056,0.227075
56,2018,-0.004324,0.391472,0.074554,0.000025,0.130213
56,2019,-0.007483,0.521932,0.262739,0.000610,0.655533
56,2020,-0.004611,0.656855,0.347226,0.000279,0.030705
56,2021,-0.012900,0.652772,0.194214,0.000141,0.089894
57,2017,0.162495,0.004627,0.124003,0.019305,-0.038822
57,2018,0.082344,0.020807,0.165961,0.017070,0.011526
57,2019,0.017286,0.017780,0.130686,0.016798,0.032811
57,2020,-0.026477,0.043572,0.092369,0.013537,-0.129616
57,2021,0.076484,0.056889,0.088688,0.013776,-0.052298
58,2017,0.168147,-0.029126,0.039389,0.009527,-0.070784
58,2018,-0.165468,0.051090,0.055061,0.000000,0.050020
58,2019,0.006836,0.013013,0.058780,0.000000,-0.009669
58,2020,-0.032744,0.010180,0.053331,0.000000,0.029903
58,2021,-0.087156,0.010925,0.078573,0.000000,0.047381
59,2017,0.121214,0.397791,0.450212,0.041692,-0.038652
59,2018,0.025966,0.143075,0.493065,0.051190,-0.101518
59,2019,0.051629,0.174223,0.327108,0.037362,0.109713
59,2020,0.017992,0.370457,0.283918,0.040928,-0.040802
59,2021,-0.023589,0.543332,0.114173,0.043214,0.950879
60,2017,-0.011054,0.028561,0.062479,0.033734,-0.006895
60,2018,0.077379,0.035659,0.057284,0.031791,0.039353
60,2019,0.047112,0.132601,0.048650,0.028894,0.061251
60,2020,0.167017,0.094068,0.045543,0.021790,-0.004636
60,2021,0.101974,0.055865,0.030900,0.019396,0.054445
61,2017,0.097779,0.166398,0.189082,0.219562,0.005632
61,2018,-0.082909,0.312365,0.180257,0.216490,-0.003119
61,2019,0.009450,0.235002,0.144699,0.276243,0.001044
61,2020,0.091529,0.191493,0.154735,0.264903,0.017964
61,2021,0.035365,0.113414,0.183041,0.275225,0.008310
62,2017,0.033762,0.000018,0.151056,0.004312,0.016195
62,2018,0.086932,0.001329,0.153910,0.003291,0.063752
62,2019,0.035550,0.021572,0.148337,0.002864,0.016774
62,2020,0.038173,0.015043,0.148273,0.002232,-0.032695
62,2021,0.028158,0.010490,0.140260,0.003765,0.021159
63,2017,0.093170,0.173378,0.264161,0.000359,0.047870
63,2018,-0.032473,0.172223,0.243377,0.000133,-0.001564
63,2019,0.126462,0.246921,0.208534,0.000527,-0.017010
63,2020,0.012326,0.073868,0.238477,0.000509,-0.011046
63,2021,-0.006292,0.051251,0.313160,0.000986,0.088507
64,2017,0.048009,0.024981,0.382533,0.000000,0.176108
64,2018,0.048045,0.047347,0.294379,0.000000,-0.024371
64,2019,-0.024510,0.068646,0.157593,0.000000,-0.145162
64,2020,0.002257,0.088628,0.158169,0.000000,0.195077
64,2021,-0.081388,0.112002,0.298736,0.000000,0.112261
65,2017,-0.022583,0.008473,0.001429,0.020832,-0.275893
65,2018,-0.012963,0.014455,0.000984,0.012066,-0.010435
65,2019,-0.368971,0.023118,0.000716,0.050728,0.218406
65,2020,-0.028287,0.022862,0.000420,0.053168,-0.028045
65,2021,-0.007768,0.004021,0.000260,0.065988,-0.052201
66,2017,0.045114,0.017770,0.333337,0.013520,0.130055
66,2018,0.085856,0.031118,0.301755,0.010763,0.015911
66,2019,0.073028,0.030088,0.334778,0.006801,0.094579
66,2020,-0.054263,0.028262,0.407279,0.005633,0.003308
66,2021,-0.043194,0.029773,0.409312,0.005509,-0.022548
67,2017,0.105685,0.269749,0.417398,0.003216,0.095804
67,2018,0.031395,-0.747969,0.214993,0.002974,-0.190815
67,2019,0.136742,2.463225,0.214708,0.001744,0.141028
67,2020,-0.058669,0.206454,0.226224,0.000754,0.038126
67,2021,-0.079067,0.243067,0.231148,0.000207,0.102995
