ID	Year	PP(Y)	TC(X1)	II(X2)	ATB(X3)	ML(Z)
45	2017	-0,002476898	0,005716843	0,1493637	0,008611952	0,041507462
45	2018	0,003581275	0,00505662	0,132540408	0,008801552	0,029513214
45	2019	0,000241349	0,004687217	0,139642506	0,008736836	0,038120895
45	2020	0,005039183	0,003783248	0,146576017	0,008778159	0,059246702
45	2021	0,000430221	0,003657603	0,152463754	0,007205973	0,063956293
46	2017	0,010144769	0,00706001	0,155943155	0,005594308	0,065903664
46	2018	0,02129277	0,010768128	0,153950561	0,003995287	0,079199751
46	2019	0,02918731	0,007669649	0,15614362	0,002645905	0,074813474
46	2020	0,029462643	-0,002899922	0,162520612	0,001501066	0,079521412
46	2021	0,033792476	0,007379197	0,14795723	0,000495312	0,073925176
47	2017	0,030169962	0,007371963	0,158790348	0,000998126	0,086532061
47	2018	0,04557563	0,00808775	0,142027469	0,001661474	0,078197407
47	2019	0,049861802	0,00886275	0,133794836	0,002270719	0,066634023
47	2020	0,060500902	0,019420556	0,120716985	0,005786913	0,078326953
47	2021	0,056970927	0,026057972	0,117427559	0,008595626	0,083870313
48	2017	0,047700518	0,02192201	0,111322606	0,008959259	0,091079214
48	2018	0,036473163	0,01574652	0,109668771	0,009303862	0,094778172
48	2019	0,037142836	0,015652534	0,109779022	0,023283761	0,094485773
48	2020	0,032506165	0,005347776	0,123417717	0,037701246	0,089246396
48	2021	0,025124852	0,017576984	0,125012599	0,047097022	0,092421367
49	2017	0,01129466	0,023510987	0,141164076	0,047474261	0,106843899
49	2018	0,006654181	0,034323113	0,144863488	0,048229558	0,118812417
49	2019	0,003076747	0,030909984	0,152306195	0,045872752	0,096940121
49	2020	0,005360252	0,024228438	0,142556254	0,043889912	0,094212568
49	2021	0,005827789	0,026596432	0,136649317	0,044302542	0,088669716
50	2017	0,01541983	0,031504852	0,122572162	0,050502041	0,085149069
50	2018	0,015837648	0,040723586	0,106813218	0,043073362	0,069719265
50	2019	0,031920195	0,044375644	0,0921278	0,034959189	0,067824668
50	2020	0,031422033	0,036265601	0,079765673	0,031457013	0,061916373
50	2021	0,04956974	0,032374883	0,065827314	0,036482981	0,063103456
51	2017	0,048923484	0,026610818	0,066373558	0,038078161	0,05102062
51	2018	0,04396079	0,023448244	0,072160607	0,039550016	0,07464092
51	2019	0,042718071	0,025256617	0,080834967	0,041333615	0,071201712
51	2020	0,041645594	0,027267731	0,081556185	0,043073102	0,061362228
51	2021	0,040526137	0,025030186	0,098856343	0,038755806	0,070588355
52	2017	0,04106539	0,017668896	0,105597534	0,035489535	0,064353067
52	2018	0,028769615	0,015879681	0,112480399	0,043615276	0,060287634
52	2019	0,031678738	0,014036216	0,123971325	0,045120691	0,056622501
52	2020	0,01587682	0,01351309	0,13160271	0,054420281	0,050576456
52	2021	0,014705306	0,011284721	0,136408705	0,066570111	0,060473731
53	2017	0,018309454	0,009672631	0,122412087	0,063987209	0,044414674
53	2018	0,016369484	0,006364695	0,113754877	0,061402183	0,049140551
53	2019	0,020918444	0,00429145	0,118383791	0,05889366	0,052803238
53	2020	0,035120099	0,003508694	0,102488038	0,056821418	0,052789305
53	2021	0,037784775	0,004299622	0,095118674	0,053618226	0,063871399
54	2017	0,05140119	0,007367981	0,092923566	0,03920264	0,08410855
54	2018	0,073647761	0,009828619	0,081277173	0,032861693	0,091539671
54	2019	0,078212638	0,01487146	0,073715671	0,01861737	0,092128917
54	2020	0,086382076	0,014146305	0,060784774	0,004600646	0,079833682
54	2021	0,107200299	0,013256416	0,060940205	0,005471541	0,092707153
55	2017	0,11314288	0,011594368	0,062493292	0,0140847	0,085707356
55	2018	0,11485128	0,022092279	0,059823677	0,022020837	0,083428728
55	2019	0,101059941	0,020488262	0,062166816	0,028752722	0,067204424
55	2020	0,094038328	0,017905604	0,065309117	0,035219632	0,077791464
55	2021	0,081456705	0,013073093	0,064123308	0,04159595	0,059036615
56	2017	0,058194818	0,008632874	0,064244952	0,039703459	0,047512175
56	2018	0,050094667	0,001951683	0,06481573	0,038503194	0,056434755
56	2019	0,041250636	-0,000773887	0,074892549	0,037436861	0,059474724
56	2020	0,016731886	-0,002522208	0,08647726	0,036513796	0,049683598
56	2021	0,007261962	-0,002670412	0,08497723	0,027891804	0,056349881
